node_id,index,UniProt
9606.ENSP00000249700,599,Q9NZR1
9606.ENSP00000249749,600,Q9NR61
9606.ENSP00000249750,601,O94788
9606.ENSP00000249910,602,O95243
9606.ENSP00000250018,603,P17752
9606.ENSP00000250092,604,P34810
9606.ENSP00000250111,605,P14415
9606.ENSP00000250160,606,O95388
9606.ENSP00000250237,607,Q9BXR0
9606.ENSP00000250340,608,Q9Y240
9606.ENSP00000250351,609,Q9UKR0
9606.ENSP00000250378,610,P23946
9606.ENSP00000250405,611,Q92843
9606.ENSP00000250457,612,Q9H6Z9
9606.ENSP00000250495,613,Q15843
9606.ENSP00000251047,614,P49257
9606.ENSP00000251102,615,Q14028
9606.ENSP00000251372,616,O75019
9606.ENSP00000251642,617,Q96C10
9606.ENSP00000251775,618,O95219
9606.ENSP00000251810,619,Q7LG56
9606.ENSP00000251968,620,Q99816
9606.ENSP00000252037,621,O75344
9606.ENSP00000252050,622,Q8IWT3
9606.ENSP00000252102,623,O43678
9606.ENSP00000252137,624,Q96DF8
9606.ENSP00000252229,625,Q29980
9606.ENSP00000252242,626,P13647
9606.ENSP00000252244,627,P04264
9606.ENSP00000252456,628,P51911
9606.ENSP00000252483,629,Q92692
9606.ENSP00000252486,630,P02649
9606.ENSP00000252575,631,O14594
9606.ENSP00000252590,632,Q9BX97
9606.ENSP00000252593,633,Q10589
9606.ENSP00000252599,634,Q8NBJ5
9606.ENSP00000252602,635,Q9BQ48
9606.ENSP00000252603,636,O95336
9606.ENSP00000252677,637,O95972
9606.ENSP00000252699,638,O43707
9606.ENSP00000252723,639,P01588
9606.ENSP00000252804,640,Q92626
9606.ENSP00000252809,641,Q99988
9606.ENSP00000252818,642,P17535
9606.ENSP00000252825,643,P23327
9606.ENSP00000252891,644,Q9Y6R0
9606.ENSP00000252951,645,P02008
9606.ENSP00000252971,646,P50219
9606.ENSP00000253023,647,P61081
9606.ENSP00000253024,648,Q13263
9606.ENSP00000253055,649,Q02779
9606.ENSP00000253083,650,O75146
9606.ENSP00000253108,651,O75821
9606.ENSP00000253354,652,Q8TDL5
9606.ENSP00000253362,653,Q96DR5
9606.ENSP00000253363,654,Q14498
9606.ENSP00000253381,655,Q96PH6
9606.ENSP00000253382,656,Q9NR19
9606.ENSP00000253407,657,O75973
9606.ENSP00000253408,658,P14136
9606.ENSP00000253457,659,O43402
9606.ENSP00000253754,660,P50479
9606.ENSP00000253778,661,O94808
9606.ENSP00000253794,662,Q9BRG1
9606.ENSP00000253799,663,O75106
9606.ENSP00000253925,664,Q13136
9606.ENSP00000254051,665,Q8IZW8
9606.ENSP00000254193,666,P09661
9606.ENSP00000254227,667,Q15466
9606.ENSP00000254260,668,Q8IUC4
9606.ENSP00000254301,669,P17931
9606.ENSP00000254322,670,P25685
9606.ENSP00000254436,671,P19474
9606.ENSP00000254480,672,Q92922
9606.ENSP00000254521,673,P56937
9606.ENSP00000254616,674,Q9Y5J6
9606.ENSP00000254654,675,Q9H0C8
9606.ENSP00000254661,676,O60894
9606.ENSP00000254722,677,P36955
9606.ENSP00000254868,678,Q8IUN9
9606.ENSP00000254878,679,P52758
9606.ENSP00000254940,680,Q9Y221
9606.ENSP00000254950,681,Q9UN37
9606.ENSP00000254958,682,P78504
9606.ENSP00000254976,683,P60880
9606.ENSP00000254998,684,Q9UKK6
9606.ENSP00000255030,685,P02741
9606.ENSP00000255040,686,P02743
