,AD_beta,AD_logp,PD_beta,PD_logp,FTD_beta,FTD_logp,ALS_beta,ALS_logp
PPA1,0.014201352,2.6485515,-0.013576703,2.4659607,0.0046354355,0.6032672,0.0026047984,0.48764002
ADSL,0.0112981815,1.5895481,-0.013039675,1.4952581,-0.022160403,0.57196873,0.009094073,0.43998462
RB1,0.014799628,2.6919916,-0.012300383,2.5127606,0.005358897,0.6030374,0.0012717005,0.4851085
RPS3,0.011771478,2.7158358,-0.019353433,2.5345774,0.0057674972,0.60345685,0.0010639478,0.49245748
CD163,0.041376498,0.41329738,-0.019318245,0.021243215,-0.033863973,0.5130689,0.05994805,0.46797952
FAP,0.005784638,-2.8095746,0.0073101576,-2.902825,-0.115712196,0.3928485,0.10388441,0.30206966
SPTAN1,0.02089617,2.3222697,-0.018087745,2.0538116,-0.0062796557,0.5960753,0.019009337,0.4923256
SSRP1,0.015473487,2.6553109,-0.019190667,2.4385478,0.0024561551,0.60589266,0.0057465616,0.4946161
TPM1,0.019636618,2.0594223,-0.02671333,1.8294883,-0.0073238956,0.58184266,0.016054455,0.48572898
PRSS2,0.026925595,1.564289,-0.029761128,1.1820788,-0.036028143,0.587199,0.05264493,0.5030734
TYMS,0.012943884,2.0345945,-0.010930302,1.9065518,-0.0085514635,0.5871912,0.010945646,0.4610752
TNFAIP6,0.03108282,0.9429282,-0.036679253,0.6463928,-0.07236274,0.6666733,0.04127435,0.5117965
CD274,0.01933205,0.9628842,-0.036451608,0.6841967,-0.027560275,0.53095853,0.043444984,0.4734993
ICOSLG,0.022974867,1.500122,-0.021608917,1.306742,-0.016138297,0.5633893,0.024795907,0.4642282
CD226,0.017733438,2.7368526,-0.008525683,2.51601,0.0079309875,0.60340774,0.0043693073,0.49291956
CD244,0.018468063,2.0390651,-0.024067115,1.8546338,-0.007738415,0.57968044,0.011851738,0.4744627
CD83,0.01839964,1.3769267,-0.020611884,1.292573,-0.031814624,0.58877796,0.023133395,0.4416399
CD55,0.09044325,-3.1004803,-0.015199024,-3.8160434,-0.10721337,0.36175036,0.16383848,0.41319448
TNFRSF6B,0.04003356,1.2046369,-0.040594827,0.73698854,-0.020241067,0.551514,0.05210733,0.51478034
EPHA10,0.03182193,1.1399746,-0.012348261,0.85786307,-0.025185104,0.5427489,0.04090445,0.4582312
EPHB6,0.029052958,1.1279739,-0.01040899,0.8667408,-0.024911076,0.5555391,0.03539716,0.46324277
GPNMB,-0.009483606,-0.46586332,-0.0020960062,-0.64955765,-0.059547547,0.56379426,0.029901702,0.46674886
IL1RAPL2,0.013281014,2.9905982,-0.011249874,2.8145776,0.011425704,0.6136787,-0.004164108,0.4927566
IL17RB,0.026946131,1.2633855,-0.037123714,0.9668366,-0.022961888,0.5476471,0.039976362,0.48035797
IL20RA,0.023207832,0.6418892,-0.02578764,0.48708236,-0.03297885,0.5601738,0.039601434,0.4516921
IL22RA2,0.024607096,0.8982134,-0.027821898,0.6656537,-0.028206639,0.5562133,0.041317943,0.46876228
