Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SCPEP1,Retinoid-inducible serine carboxypeptidase,43436,559,0.93 [0.79-1.10],0.411556747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SCRG1,Scrapie-responsive protein 1,44786,575,1.20 [0.90-1.60],0.204441557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SCRIB,Protein scribble homolog,43598,560,0.93 [0.84-1.02],0.13099915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SCRN1,Secernin-1,51445,655,1.04 [0.91-1.17],0.584990653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SCT,Secretin,43561,559,0.80 [0.68-0.95],0.012010301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SDC1,Syndecan-1,51520,659,1.07 [0.90-1.28],0.421686237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SDC4,Syndecan-4,51520,659,0.87 [0.75-1.01],0.058778313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SDCCAG8,Serologically defined colon cancer antigen 8,44579,573,0.93 [0.87-1.00],0.046448115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SDHB,Succinate dehydrogenase,44598,575,0.90 [0.79-1.02],0.111862081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SDK2,Protein sidekick-2,43810,566,0.96 [0.78-1.18],0.690067155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEC31A,Protein transport protein Sec31A,43598,560,0.96 [0.87-1.07],0.49564645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEL1L,Protein sel-1 homolog 1,43598,560,1.03 [0.80-1.33],0.804762646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SELE,E-selectin,52156,670,0.96 [0.84-1.10],0.58196859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SELENOP,Selenoprotein P,44858,579,0.95 [0.67-1.34],0.759436273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SELL,L-selectin,44858,579,0.85 [0.60-1.20],0.348851807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SELP,P-selectin,51726,664,0.97 [0.86-1.10],0.671891497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SELPLG,P-selectin glycoprotein ligand 1,51445,655,0.83 [0.65-1.05],0.121329127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEMA3F,Semaphorin-3F,51520,659,1.11 [0.85-1.43],0.448764257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEMA3G,Semaphorin-3G,43810,566,1.06 [0.89-1.27],0.512765519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEMA4C,Semaphorin-4C,51282,658,1.28 [1.03-1.59],0.028899096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEMA4D,Semaphorin-4D,51972,664,1.07 [0.85-1.35],0.545046915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEMA6C,Semaphorin-6C,43494,565,1.22 [0.93-1.60],0.149541333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEMA7A,Semaphorin-7A,51986,667,1.34 [1.07-1.68],0.009721062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEPTIN3,Neuronal-specific septin-3,44708,575,1.06 [0.96-1.18],0.247256723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEPTIN7,Septin-7,43973,571,1.03 [0.89-1.19],0.705181817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEPTIN8,Septin-8,44596,576,1.19 [0.93-1.52],0.164496688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEPTIN9,Septin-9,51282,658,1.07 [0.84-1.35],0.59426418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA1,Alpha-1-antitrypsin,44017,566,1.63 [0.62-4.30],0.321026017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA11,Serpin A11,52156,670,1.25 [1.06-1.48],0.009629664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA12,Serpin A12,50037,641,1.03 [0.97-1.10],0.326639767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA3,Alpha-1-antichymotrypsin,44694,574,0.98 [0.57-1.66],0.931203454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA4,Kallistatin,44037,567,0.99 [0.71-1.39],0.957588785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA5,Plasma serine protease inhibitor,44206,571,0.67 [0.51-0.89],0.004960316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA6,Corticosteroid-binding globulin,44858,579,0.62 [0.38-1.03],0.06567394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA7,Thyroxine-binding globulin,44858,579,1.15 [0.75-1.76],0.515169565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINA9,Serpin A9,51040,652,0.91 [0.83-1.01],0.062822852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINB1,Leukocyte elastase inhibitor,51364,656,0.99 [0.92-1.07],0.794752775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINB5,Serpin B5,50576,656,0.96 [0.84-1.11],0.620520048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINB6,Serpin B6,51803,660,0.98 [0.87-1.11],0.790742927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINB8,Serpin B8,52083,662,0.98 [0.87-1.10],0.751913749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINB9,Serpin B9,51120,649,0.90 [0.73-1.11],0.322700264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINC1,Antithrombin-III,44773,578,0.78 [0.45-1.34],0.367452213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPIND1,Heparin cofactor 2,44773,578,0.78 [0.59-1.04],0.094240204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINE1,Plasminogen activator inhibitor 1,52156,670,0.92 [0.84-1.02],0.126957928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINE2,Glia-derived nexin,44786,575,0.91 [0.80-1.03],0.122542883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINF1,Pigment epithelium-derived factor,44179,571,0.88 [0.65-1.20],0.420888517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINF2,Alpha-2-antiplasmin,44016,568,0.55 [0.30-0.99],0.047510011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPING1,Plasma protease C1 inhibitor,44773,578,0.99 [0.64-1.54],0.975759068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINH1,Serpin H1,43973,571,1.00 [0.94-1.06],0.993890086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINI1,Neuroserpin,43730,566,0.71 [0.54-0.94],0.018006053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SERPINI2,Serpin I2,44598,575,1.01 [0.87-1.16],0.932758671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SESTD1,SEC14 domain and spectrin repeat-containing protein 1,50313,641,0.99 [0.89-1.10],0.838034923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SETMAR,Histone-lysine N-methyltransferase SETMAR,50952,646,0.95 [0.75-1.21],0.674120983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEZ6,Seizure protein 6 homolog,43561,559,1.23 [0.95-1.59],0.115929194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEZ6L,Seizure 6-like protein,51678,662,1.06 [0.82-1.35],0.665322327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SEZ6L2,Seizure 6-like protein 2,51282,658,1.33 [1.00-1.79],0.05220314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SF3B4,Splicing factor 3B subunit 4,51282,658,0.97 [0.89-1.07],0.596030589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SFRP1,Secreted frizzled-related protein 1,50951,647,1.11 [0.95-1.30],0.185031874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SFRP4,Secreted frizzled-related protein 4,43810,566,0.80 [0.65-0.98],0.032873461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SFTPA1,Pulmonary surfactant-associated protein A1,50307,647,0.96 [0.84-1.09],0.504472312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SFTPA2,Pulmonary surfactant-associated protein A2,50307,647,0.95 [0.83-1.09],0.465949087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SFTPD,Pulmonary surfactant-associated protein D,51520,659,0.88 [0.79-0.97],0.013383946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SGSH,N-sulphoglucosamine sulphohydrolase,44037,563,0.90 [0.78-1.05],0.180135304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SH2B3,SH2B adapter protein 3,50307,647,1.00 [0.93-1.07],0.967672104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SH2D1A,SH2 domain-containing protein 1A,51445,655,0.91 [0.80-1.03],0.129777577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2,43345,561,0.97 [0.85-1.12],0.684838398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SH3BP1,SH3 domain-binding protein 1,44598,575,0.81 [0.67-0.97],0.019550104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SH3GL3,Endophilin-A3,43724,569,0.92 [0.84-1.01],0.070411228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SH3GLB2,Endophilin-B2,44681,576,0.96 [0.85-1.08],0.492521943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SHBG,Sex hormone-binding globulin,44826,575,1.08 [0.92-1.27],0.370675165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SHC1,SHC-transforming protein 1,43188,552,0.96 [0.89-1.03],0.2851914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SHD,SH2 domain-containing adapter protein D,43234,555,0.93 [0.84-1.03],0.186379745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SHH,Sonic hedgehog protein,43494,565,1.02 [0.84-1.23],0.847889618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SHISA5,Protein shisa-5,44792,582,1.45 [1.13-1.87],0.003332043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SHMT1,"Serine hydroxymethyltransferase, cytosolic",51658,663,0.96 [0.88-1.04],0.276985651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SHPK,Sedoheptulokinase,43973,571,0.95 [0.78-1.16],0.629397607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIAE,Sialate O-acetylesterase,51593,662,0.94 [0.81-1.09],0.419153393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIGLEC1,Sialoadhesin,51742,665,1.17 [1.00-1.38],0.052624058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIGLEC10,Sialic acid-binding Ig-like lectin 10,51445,655,1.15 [0.94-1.40],0.172367996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIGLEC15,Sialic acid-binding Ig-like lectin 15,50313,641,1.02 [0.93-1.11],0.71271083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIGLEC5,Sialic acid-binding Ig-like lectin 5,51533,659,1.10 [1.03-1.17],0.005364562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIGLEC6,Sialic acid-binding Ig-like lectin 6,51958,666,1.04 [0.85-1.28],0.690810312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIGLEC7,Sialic acid-binding Ig-like lectin 7,51520,659,1.03 [0.80-1.32],0.832726155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIGLEC8,Sialic acid-binding Ig-like lectin 8,43598,560,1.04 [0.86-1.24],0.702503508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIGLEC9,Sialic acid-binding Ig-like lectin 9,51884,666,1.09 [0.87-1.38],0.447368084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter VI Diseases of the nervous system,Alzheimer disease,SIL1,Nucleotide exchange factor SIL1,43598,560,0.88 [0.66-1.16],0.36614254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
