Disease_category_ad,Disease_ad,Protein,Protein_definition_ad,NB_individual_ad,NB_case_ad,HR[95%CI]_ad,P_value_ad,Disease_category_pd,Disease_pd,Protein_definition_pd,NB_individual_pd,NB_case_pd,HR[95%CI]_pd,P_value_pd
Chapter VI Diseases of the nervous system,Alzheimer disease,ALDH5A1,"Succinate-semialdehyde dehydrogenase, mitochondrial",44708,575,0.91 [0.76-1.08],0.285818187,Chapter VI Diseases of the nervous system,Parkinson's disease,"Succinate-semialdehyde dehydrogenase, mitochondrial",44664,422,1.00 [0.82-1.22],0.985745053
Chapter VI Diseases of the nervous system,Alzheimer disease,ALMS1,Alstrom syndrome protein 1,43973,571,0.94 [0.78-1.13],0.528145838,Chapter VI Diseases of the nervous system,Parkinson's disease,Alstrom syndrome protein 1,43931,414,0.91 [0.73-1.14],0.412831717
Chapter VI Diseases of the nervous system,Alzheimer disease,ALPI,Intestinal-type alkaline phosphatase,43494,565,0.95 [0.89-1.02],0.154115556,Chapter VI Diseases of the nervous system,Parkinson's disease,Intestinal-type alkaline phosphatase,43449,414,1.03 [0.95-1.11],0.450846094
Chapter VI Diseases of the nervous system,Alzheimer disease,ALPP,"Alkaline phosphatase, placental type",51282,658,0.97 [0.90-1.04],0.360073496,Chapter VI Diseases of the nervous system,Parkinson's disease,"Alkaline phosphatase, placental type",51237,847,0.95 [0.90-1.01],0.123328767
Chapter VI Diseases of the nervous system,Alzheimer disease,AMBN,Ameloblastin,50550,645,1.28 [1.05-1.57],0.016830035,Chapter VI Diseases of the nervous system,Parkinson's disease,Ameloblastin,50504,835,1.00 [0.80-1.26],0.986922897
Chapter VI Diseases of the nervous system,Alzheimer disease,AMBP,Protein AMBP,51884,666,1.22 [0.88-1.70],0.240106621,Chapter VI Diseases of the nervous system,Parkinson's disease,Protein AMBP,51838,854,0.79 [0.59-1.06],0.114135868
Chapter VI Diseases of the nervous system,Alzheimer disease,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,44792,582,1.13 [0.83-1.53],0.434052417,Chapter VI Diseases of the nervous system,Parkinson's disease,N-acetylglucosamine-6-phosphate deacetylase,44748,420,0.83 [0.58-1.19],0.30814769
Chapter VI Diseases of the nervous system,Alzheimer disease,AMFR,E3 ubiquitin-protein ligase AMFR,50313,641,1.05 [0.94-1.17],0.413505695,Chapter VI Diseases of the nervous system,Parkinson's disease,E3 ubiquitin-protein ligase AMFR,50268,833,1.03 [0.93-1.13],0.554192817
Chapter VI Diseases of the nervous system,Alzheimer disease,AMIGO1,Amphoterin-induced protein 1,43561,559,0.94 [0.79-1.12],0.482586874,Chapter VI Diseases of the nervous system,Parkinson's disease,Amphoterin-induced protein 1,43517,414,1.04 [0.86-1.24],0.710539339
Chapter VI Diseases of the nervous system,Alzheimer disease,AMIGO2,Amphoterin-induced protein 2,51282,658,1.05 [0.78-1.41],0.764769084,Chapter VI Diseases of the nervous system,Parkinson's disease,Amphoterin-induced protein 2,51237,847,0.96 [0.74-1.25],0.755795192
Chapter VI Diseases of the nervous system,Alzheimer disease,AMN,Protein amnionless,50550,645,0.90 [0.77-1.04],0.157031566,Chapter VI Diseases of the nervous system,Parkinson's disease,Protein amnionless,50504,835,1.02 [0.90-1.17],0.732577714
Chapter VI Diseases of the nervous system,Alzheimer disease,AMOT,Angiomotin,43810,566,0.81 [0.65-1.00],0.05465058,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiomotin,43766,407,0.79 [0.61-1.02],0.074546152
Chapter VI Diseases of the nervous system,Alzheimer disease,AMOTL2,Angiomotin-like protein 2,44409,571,0.68 [0.56-0.84],0.000262143,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiomotin-like protein 2,44365,421,1.06 [0.88-1.28],0.509845591
Chapter VI Diseases of the nervous system,Alzheimer disease,AMPD3,AMP deaminase 3,44681,576,1.04 [0.94-1.16],0.441817528,Chapter VI Diseases of the nervous system,Parkinson's disease,AMP deaminase 3,44637,419,1.06 [0.93-1.20],0.413223976
Chapter VI Diseases of the nervous system,Alzheimer disease,AMY1A_AMY1B_AMY1C,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,41995,541,0.86 [0.73-1.02],0.09121803,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C,41957,390,0.90 [0.73-1.10],0.290689705
Chapter VI Diseases of the nervous system,Alzheimer disease,AMY2A,Pancreatic alpha-amylase,49538,630,0.95 [0.82-1.10],0.509751995,Chapter VI Diseases of the nervous system,Parkinson's disease,Pancreatic alpha-amylase,49495,850,0.93 [0.82-1.06],0.273410755
Chapter VI Diseases of the nervous system,Alzheimer disease,AMY2B,Alpha-amylase 2B,48023,610,0.92 [0.79-1.06],0.257406011,Chapter VI Diseases of the nervous system,Parkinson's disease,Alpha-amylase 2B,47982,832,0.92 [0.81-1.04],0.184267146
Chapter VI Diseases of the nervous system,Alzheimer disease,ANG,Angiogenin,51389,658,0.94 [0.76-1.15],0.542556895,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiogenin,51344,855,0.98 [0.82-1.17],0.807203723
Chapter VI Diseases of the nervous system,Alzheimer disease,ANGPT1,Angiopoietin-1,51331,661,0.99 [0.92-1.08],0.87432499,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiopoietin-1,51286,847,1.01 [0.94-1.09],0.762927505
Chapter VI Diseases of the nervous system,Alzheimer disease,ANGPT2,Angiopoietin-2,51958,666,1.17 [0.97-1.40],0.091824012,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiopoietin-2,51912,855,1.16 [0.99-1.36],0.067010213
Chapter VI Diseases of the nervous system,Alzheimer disease,ANGPTL1,Angiopoietin-related protein 1,50769,652,1.26 [0.99-1.61],0.058791065,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiopoietin-related protein 1,50725,842,0.91 [0.73-1.13],0.383117925
Chapter VI Diseases of the nervous system,Alzheimer disease,ANGPTL2,Angiopoietin-related protein 2,51574,665,0.99 [0.83-1.17],0.895815517,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiopoietin-related protein 2,51528,854,0.86 [0.74-1.00],0.050373105
Chapter VI Diseases of the nervous system,Alzheimer disease,ANGPTL3,Angiopoietin-related protein 3,51558,661,0.81 [0.67-0.99],0.035554026,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiopoietin-related protein 3,51513,856,0.68 [0.58-0.81],9.63e-06
Chapter VI Diseases of the nervous system,Alzheimer disease,ANGPTL4,Angiopoietin-related protein 4,51658,663,1.14 [0.98-1.33],0.101444029,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiopoietin-related protein 4,51612,853,0.92 [0.80-1.06],0.240494482
Chapter VI Diseases of the nervous system,Alzheimer disease,ANGPTL7,Angiopoietin-related protein 7,51958,666,1.25 [1.03-1.52],0.020888452,Chapter VI Diseases of the nervous system,Parkinson's disease,Angiopoietin-related protein 7,51912,855,1.01 [0.85-1.20],0.89920223
Chapter VI Diseases of the nervous system,Alzheimer disease,ANK2,Ankyrin-2,43319,555,0.99 [0.88-1.11],0.832007377,Chapter VI Diseases of the nervous system,Parkinson's disease,Ankyrin-2,43276,405,1.07 [0.94-1.22],0.28249438
Chapter VI Diseases of the nervous system,Alzheimer disease,ANKMY2,Ankyrin repeat and MYND domain-containing protein 2,43494,565,0.98 [0.89-1.09],0.719960921,Chapter VI Diseases of the nervous system,Parkinson's disease,Ankyrin repeat and MYND domain-containing protein 2,43449,414,0.96 [0.86-1.09],0.53793601
Chapter VI Diseases of the nervous system,Alzheimer disease,ANKRA2,Ankyrin repeat family A protein 2,43188,552,0.96 [0.83-1.11],0.575106983,Chapter VI Diseases of the nervous system,Parkinson's disease,Ankyrin repeat family A protein 2,43143,402,1.22 [1.05-1.42],0.009167951
Chapter VI Diseases of the nervous system,Alzheimer disease,ANKRD54,Ankyrin repeat domain-containing protein 54,50307,647,1.09 [0.98-1.22],0.12332603,Chapter VI Diseases of the nervous system,Parkinson's disease,Ankyrin repeat domain-containing protein 54,50261,834,0.99 [0.89-1.10],0.787385838
Chapter VI Diseases of the nervous system,Alzheimer disease,ANP32C,Acidic leucine-rich nuclear phosphoprotein 32 family member C,43598,560,0.91 [0.73-1.14],0.412850209,Chapter VI Diseases of the nervous system,Parkinson's disease,Acidic leucine-rich nuclear phosphoprotein 32 family member C,43557,401,0.88 [0.67-1.15],0.347751105
Chapter VI Diseases of the nervous system,Alzheimer disease,ANPEP,Aminopeptidase N,51643,663,1.48 [1.17-1.88],0.00096258,Chapter VI Diseases of the nervous system,Parkinson's disease,Aminopeptidase N,51598,859,1.09 [0.88-1.36],0.422638209
Chapter VI Diseases of the nervous system,Alzheimer disease,ANXA1,Annexin A1,43562,560,1.10 [0.92-1.31],0.299732181,Chapter VI Diseases of the nervous system,Parkinson's disease,Annexin A1,43518,400,0.88 [0.70-1.11],0.267410544
Chapter VI Diseases of the nervous system,Alzheimer disease,ANXA10,Annexin A10,50313,641,1.04 [0.96-1.13],0.281072929,Chapter VI Diseases of the nervous system,Parkinson's disease,Annexin A10,50268,833,1.01 [0.94-1.09],0.703903305
Chapter VI Diseases of the nervous system,Alzheimer disease,ANXA11,Annexin A11,51364,654,0.98 [0.89-1.09],0.713650212,Chapter VI Diseases of the nervous system,Parkinson's disease,Annexin A11,51318,843,0.94 [0.86-1.02],0.152733721
Chapter VI Diseases of the nervous system,Alzheimer disease,ANXA2,Annexin A2,42940,550,1.11 [0.99-1.23],0.076639447,Chapter VI Diseases of the nervous system,Parkinson's disease,Annexin A2,42899,392,0.92 [0.80-1.06],0.234124578
Chapter VI Diseases of the nervous system,Alzheimer disease,ANXA3,Annexin A3,51888,664,1.00 [0.90-1.10],0.929446126,Chapter VI Diseases of the nervous system,Parkinson's disease,Annexin A3,51842,854,1.02 [0.94-1.11],0.649186937
Chapter VI Diseases of the nervous system,Alzheimer disease,ANXA4,Annexin A4,51277,657,0.98 [0.89-1.08],0.67095279,Chapter VI Diseases of the nervous system,Parkinson's disease,Annexin A4,51233,848,1.01 [0.93-1.10],0.843222936
Chapter VI Diseases of the nervous system,Alzheimer disease,ANXA5,Annexin A5,50146,635,1.12 [0.89-1.41],0.342315112,Chapter VI Diseases of the nervous system,Parkinson's disease,Annexin A5,50102,832,0.83 [0.68-1.03],0.088891769
Chapter VI Diseases of the nervous system,Alzheimer disease,AOC1,Amiloride-sensitive amine oxidase [copper-containing],50550,645,0.94 [0.83-1.07],0.373926067,Chapter VI Diseases of the nervous system,Parkinson's disease,Amiloride-sensitive amine oxidase [copper-containing],50504,835,0.93 [0.83-1.05],0.255387261
Chapter VI Diseases of the nervous system,Alzheimer disease,AOC3,Membrane primary amine oxidase,51726,664,1.04 [0.82-1.31],0.743302838,Chapter VI Diseases of the nervous system,Parkinson's disease,Membrane primary amine oxidase,51681,860,0.95 [0.78-1.16],0.630596985
Chapter VI Diseases of the nervous system,Alzheimer disease,AP1G2,AP-1 complex subunit gamma-like 2,44579,573,0.93 [0.84-1.04],0.199422564,Chapter VI Diseases of the nervous system,Parkinson's disease,AP-1 complex subunit gamma-like 2,44535,422,0.93 [0.83-1.05],0.270007689
Chapter VI Diseases of the nervous system,Alzheimer disease,AP2B1,AP-2 complex subunit beta,43561,559,0.83 [0.70-1.00],0.048464388,Chapter VI Diseases of the nervous system,Parkinson's disease,AP-2 complex subunit beta,43517,414,0.94 [0.77-1.15],0.57875434
Chapter VI Diseases of the nervous system,Alzheimer disease,AP3B1,AP-3 complex subunit beta-1,44598,575,0.91 [0.82-1.01],0.085691076,Chapter VI Diseases of the nervous system,Parkinson's disease,AP-3 complex subunit beta-1,44554,423,0.97 [0.86-1.10],0.650095931
Chapter VI Diseases of the nervous system,Alzheimer disease,AP3S2,AP-3 complex subunit sigma-2,44681,576,0.86 [0.72-1.03],0.092657475,Chapter VI Diseases of the nervous system,Parkinson's disease,AP-3 complex subunit sigma-2,44637,419,0.93 [0.76-1.13],0.468165014
Chapter VI Diseases of the nervous system,Alzheimer disease,APBB1IP,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,51282,658,1.03 [0.89-1.20],0.700485509,Chapter VI Diseases of the nervous system,Parkinson's disease,Amyloid beta A4 precursor protein-binding family B member 1-interacting protein,51237,847,0.95 [0.83-1.09],0.453307922
Chapter VI Diseases of the nervous system,Alzheimer disease,APCS,Serum amyloid P-component,44457,576,0.69 [0.55-0.86],0.001231158,Chapter VI Diseases of the nervous system,Parkinson's disease,Serum amyloid P-component,44414,419,0.61 [0.47-0.80],0.00032688
Chapter VI Diseases of the nervous system,Alzheimer disease,APEX1,DNA-(apurinic or apyrimidinic site) endonuclease,51796,664,0.95 [0.85-1.07],0.396170474,Chapter VI Diseases of the nervous system,Parkinson's disease,DNA-(apurinic or apyrimidinic site) endonuclease,51750,854,1.03 [0.93-1.14],0.578002314
Chapter VI Diseases of the nervous system,Alzheimer disease,APLP1,Amyloid-like protein 1,51520,659,0.94 [0.82-1.08],0.39004901,Chapter VI Diseases of the nervous system,Parkinson's disease,Amyloid-like protein 1,51476,849,0.94 [0.83-1.06],0.31156002
Chapter VI Diseases of the nervous system,Alzheimer disease,APOA1,Apolipoprotein A-I,44858,579,0.89 [0.65-1.20],0.432554178,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein A-I,44814,423,0.85 [0.59-1.22],0.375317771
Chapter VI Diseases of the nervous system,Alzheimer disease,APOA2,Apolipoprotein A-II,44826,575,1.60 [1.37-1.88],5.6e-09,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein A-II,44783,424,1.09 [0.90-1.31],0.387253407
Chapter VI Diseases of the nervous system,Alzheimer disease,APOA4,Apolipoprotein A-IV,44858,579,1.17 [0.94-1.44],0.152196076,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein A-IV,44814,423,0.78 [0.59-1.03],0.078753728
Chapter VI Diseases of the nervous system,Alzheimer disease,APOB,Apolipoprotein B-100,44826,575,1.14 [0.80-1.63],0.45798897,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein B-100,44783,424,0.67 [0.46-1.00],0.049981871
Chapter VI Diseases of the nervous system,Alzheimer disease,APOBR,Apolipoprotein B receptor,43598,560,1.08 [0.89-1.31],0.419639464,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein B receptor,43557,401,0.79 [0.63-0.98],0.031666124
Chapter VI Diseases of the nervous system,Alzheimer disease,APOC1,Apolipoprotein C-I,44773,578,0.76 [0.61-0.96],0.020363151,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein C-I,44730,423,0.89 [0.69-1.14],0.353170941
Chapter VI Diseases of the nervous system,Alzheimer disease,APOD,Apolipoprotein D,42844,558,1.17 [0.99-1.39],0.063988698,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein D,42803,405,1.08 [0.87-1.34],0.502737276
Chapter VI Diseases of the nervous system,Alzheimer disease,APOE,Apolipoprotein E,44858,579,0.49 [0.44-0.55],7.550000000000001e-32,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein E,44814,423,1.00 [0.87-1.14],0.94599538
Chapter VI Diseases of the nervous system,Alzheimer disease,APOF,Apolipoprotein F,44826,575,0.82 [0.61-1.12],0.208187323,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein F,44783,424,1.45 [0.97-2.14],0.067065483
Chapter VI Diseases of the nervous system,Alzheimer disease,APOH,Beta-2-glycoprotein 1,51533,659,1.10 [0.92-1.33],0.297637673,Chapter VI Diseases of the nervous system,Parkinson's disease,Beta-2-glycoprotein 1,51486,848,0.99 [0.84-1.18],0.952009277
Chapter VI Diseases of the nervous system,Alzheimer disease,APOL1,Apolipoprotein L1,44826,575,0.93 [0.81-1.08],0.340397636,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein L1,44783,424,0.79 [0.66-0.94],0.008840202
Chapter VI Diseases of the nervous system,Alzheimer disease,APOM,Apolipoprotein M,51643,662,0.76 [0.59-0.97],0.024723158,Chapter VI Diseases of the nervous system,Parkinson's disease,Apolipoprotein M,51598,857,0.76 [0.61-0.93],0.009617526
Chapter VI Diseases of the nervous system,Alzheimer disease,APP,Amyloid-beta precursor protein,51455,658,0.97 [0.87-1.07],0.520280761,Chapter VI Diseases of the nervous system,Parkinson's disease,Amyloid-beta precursor protein,51408,842,1.00 [0.91-1.09],0.969740187
Chapter VI Diseases of the nervous system,Alzheimer disease,APPL2,DCC-interacting protein 13-beta,43810,566,0.94 [0.88-1.01],0.108197564,Chapter VI Diseases of the nervous system,Parkinson's disease,DCC-interacting protein 13-beta,43766,407,0.95 [0.87-1.03],0.235509921
Chapter VI Diseases of the nervous system,Alzheimer disease,APRT,Adenine phosphoribosyltransferase,51037,647,1.01 [0.88-1.17],0.85244403,Chapter VI Diseases of the nervous system,Parkinson's disease,Adenine phosphoribosyltransferase,50991,836,0.97 [0.85-1.10],0.646083231
Chapter VI Diseases of the nervous system,Alzheimer disease,ARAF,Serine/threonine-protein kinase A-Raf,43973,571,1.05 [0.94-1.17],0.409093523,Chapter VI Diseases of the nervous system,Parkinson's disease,Serine/threonine-protein kinase A-Raf,43931,414,1.04 [0.91-1.19],0.606222477
Chapter VI Diseases of the nervous system,Alzheimer disease,AREG,Amphiregulin,51282,658,1.36 [1.17-1.58],6.86e-05,Chapter VI Diseases of the nervous system,Parkinson's disease,Amphiregulin,51237,847,1.16 [1.01-1.34],0.041043048
Chapter VI Diseases of the nervous system,Alzheimer disease,ARF6,ADP-ribosylation factor 6,44598,575,0.96 [0.89-1.04],0.335043937,Chapter VI Diseases of the nervous system,Parkinson's disease,ADP-ribosylation factor 6,44554,423,0.95 [0.88-1.04],0.285086502
Chapter VI Diseases of the nervous system,Alzheimer disease,ARFIP1,Arfaptin-1,44708,575,0.99 [0.88-1.11],0.800749948,Chapter VI Diseases of the nervous system,Parkinson's disease,Arfaptin-1,44664,422,0.93 [0.81-1.07],0.317335392
Chapter VI Diseases of the nervous system,Alzheimer disease,ARG1,Arginase-1,51209,655,1.07 [0.94-1.22],0.303960399,Chapter VI Diseases of the nervous system,Parkinson's disease,Arginase-1,51164,850,1.01 [0.90-1.13],0.917049119
